地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,81752,77415,75002,69434,67756,62361,57230,52530,48458
天津市,51271,48976,47449,43854,42404,39506,37022,34074,31291
河北省,32903,30867,29383,27136,25665,23446,21484,19725,18118
山西省,30924,29178,27426,25214,23828,21990,20420,19049,17854
内蒙古自治区,38130,35921,34108,31497,30555,28376,26212,24127,22310
辽宁省,37992,36089,35112,32738,31820,29701,27835,26040,24576
吉林省,29797,27975,27770,25751,24563,22798,21368,19967,18684
黑龙江省,29694,28346,27159,24902,24254,22726,21206,19838,18593
上海市,84834,79610,78027,72232,69442,64183,58988,54305,49867
江苏省,52674,49862,47498,43390,41400,38096,35024,32070,29539
浙江省,63830,60302,57541,52397,49899,45840,42046,38529,35537
安徽省,34893,32745,30904,28103,26415,23984,21863,19998,18363
福建省,45426,43118,40659,37202,35616,32644,30048,27608,25404
江西省,34242,32419,30610,28017,26262,24080,22031,20110,18437
山东省,39890,37560,35705,32886,31597,29205,26930,24685,22703
河南省,29933,28222,26811,24810,23903,21964,20170,18443,17125
湖北省,35146,32914,30829,27881,28319,25815,23757,21787,20026
湖南省,35895,34036,31993,29380,27680,25241,23103,21115,19317
广东省,49327,47065,44993,41029,39014,35810,33003,30296,27859
广西壮族自治区,29514,27981,26727,24562,23328,21485,19905,18305,16873
海南省,33192,30957,30457,27904,26679,24579,22553,20653,18979
重庆市,37595,35666,33803,30824,28920,26386,24153,22034,20110
四川省,32514,30679,29080,26522,24703,22461,20580,18808,17221
贵州省,27098,25508,23996,21795,20397,18430,16704,15121,13697
云南省,28421,26937,25666,23295,22082,20084,18348,16720,15223
西藏自治区,28983,26675,24950,21744,19501,17286,15457,13639,12254
陕西省,32128,30116,28568,26226,24666,22528,20635,18874,17395
甘肃省,25011,23273,22066,20335,19139,17488,16011,14670,13467
青海省,28587,27000,25919,24037,22618,20757,19001,17302,15813
宁夏回族自治区,31604,29599,27904,25735,24412,22400,20562,18832,17329
新疆维吾尔自治区,28947,27063,26075,23845,23103,21500,19975,18355,16859